rater_id,image_order,image_id,stress_h,calm_h,safety_h,vitality_h
rater_01,1,1048585860586204,4,3,2,3
rater_01,2,379566460086058,3,4,4,4
rater_01,3,1786985018411895,2,3,4,5
rater_01,4,322291159395298,4,2,3,2
rater_01,5,266023545929762,1,4,3,5
rater_01,6,162047722516039,4,2,2,2
rater_01,7,5231464540201573,4,1,2,3
rater_01,8,1230367942048094,2,4,3,2
rater_01,9,150710133594122,1,4,4,5
rater_01,10,2057193337761503,3,4,4,4
rater_01,11,849609889321903,4,2,3,2
rater_01,12,1524455017941861,3,2,2,2
rater_01,13,1004577386845832,4,2,2,4
rater_01,14,734683652471324,3,2,3,4
rater_01,15,1103962721751983,2,2,3,2
rater_01,16,806537633627956,4,4,4,3
rater_01,17,381260744074188,4,2,2,2
rater_01,18,1382651655441772,3,2,3,2
rater_01,19,1965905510251867,2,3,3,2
rater_01,20,144911347597850,2,4,4,4
rater_01,21,3960825717289971,2,3,3,2
rater_01,22,1437622666630184,4,2,1,1
rater_01,23,3831659007059307,4,4,3,4
rater_01,24,436078068376836,2,4,3,3
rater_01,25,1069554004511711,1,3,4,3
rater_01,26,948147969642645,1,4,4,5
rater_01,27,681084239279260,2,4,3,5
rater_01,28,744637729566618,4,3,3,4
rater_01,29,144247037688163,3,2,2,4
rater_01,30,322396782610418,2,5,5,4
rater_01,31,468270254276719,3,2,3,4
rater_01,32,1191165257986897,2,4,4,5
rater_01,33,227868632440032,2,4,3,4
rater_01,34,1511793446300774,1,5,4,4
rater_01,35,1722256454785270,2,3,2,4
rater_01,36,3820015124787263,4,2,2,2
rater_01,37,1013794687253153,4,1,2,2
rater_01,38,506871233832361,2,4,3,2
rater_01,39,171328774890863,2,3,3,2
rater_01,40,897056174290601,4,2,2,2
rater_02,1,1048585860586204,3,3,4,2
rater_02,2,379566460086058,2,3,4,4
rater_02,3,1786985018411895,2,1,5,3
rater_02,4,322291159395298,1,5,4,2
rater_02,5,266023545929762,3,3,3,2
rater_02,6,162047722516039,4,2,3,5
rater_02,7,5231464540201573,1,5,2,1
rater_02,8,1230367942048094,4,2,2,3
rater_02,9,150710133594122,1,5,5,3
rater_02,10,2057193337761503,1,5,5,3
rater_02,11,849609889321903,1,5,4,4
rater_02,12,1524455017941861,2,3,1,1
rater_02,13,1004577386845832,4,1,2,5
rater_02,14,734683652471324,1,5,5,4
rater_02,15,1103962721751983,1,2,2,1
rater_02,16,806537633627956,3,3,5,4
rater_02,17,381260744074188,2,3,2,2
rater_02,18,1382651655441772,3,3,4,4
rater_02,19,1965905510251867,2,4,3,4
rater_02,20,144911347597850,4,2,3,5
rater_02,21,3960825717289971,4,1,3,5
rater_02,22,1437622666630184,5,1,2,4
rater_02,23,3831659007059307,4,3,5,5
rater_02,24,436078068376836,4,3,2,4
rater_02,25,1069554004511711,4,2,3,2
rater_02,26,948147969642645,1,5,5,1
rater_02,27,681084239279260,1,5,4,2
rater_02,28,744637729566618,1,4,2,1
rater_02,29,144247037688163,1,4,2,3
rater_02,30,322396782610418,1,5,5,5
rater_02,31,468270254276719,3,2,5,5
rater_02,32,1191165257986897,1,3,4,5
rater_02,33,227868632440032,2,3,4,3
rater_02,34,1511793446300774,3,4,4,4
rater_02,35,1722256454785270,3,3,5,3
rater_02,36,3820015124787263,4,2,5,5
rater_02,37,1013794687253153,4,2,2,4
rater_02,38,506871233832361,4,2,3,4
rater_02,39,171328774890863,4,2,3,4
rater_02,40,897056174290601,3,2,2,1
rater_03,1,1048585860586204,3,2,2,2
rater_03,2,379566460086058,4,3,2,2
rater_03,3,1786985018411895,3,3,2,1
rater_03,4,322291159395298,2,4,3,2
rater_03,5,266023545929762,2,5,4,5
rater_03,6,162047722516039,4,2,1,3
rater_03,7,5231464540201573,1,5,3,4
rater_03,8,1230367942048094,4,1,3,1
rater_03,9,150710133594122,1,5,4,5
rater_03,10,2057193337761503,2,5,4,4
rater_03,11,849609889321903,2,4,4,3
rater_03,12,1524455017941861,3,3,2,3
rater_03,13,1004577386845832,3,2,2,4
rater_03,14,734683652471324,3,3,3,2
rater_03,15,1103962721751983,4,3,2,1
rater_03,16,806537633627956,5,4,3,3
rater_03,17,381260744074188,3,3,1,1
rater_03,18,1382651655441772,2,4,3,3
rater_03,19,1965905510251867,4,4,3,1
rater_03,20,144911347597850,3,2,2,2
rater_03,21,3960825717289971,4,2,2,2
rater_03,22,1437622666630184,5,3,3,1
rater_03,23,3831659007059307,4,4,2,3
rater_03,24,436078068376836,2,4,2,4
rater_03,25,1069554004511711,4,2,2,3
rater_03,26,948147969642645,1,5,4,5
rater_03,27,681084239279260,1,5,5,5
rater_03,28,744637729566618,1,5,4,4
rater_03,29,144247037688163,2,5,4,5
rater_03,30,322396782610418,2,4,5,4
rater_03,31,468270254276719,1,4,3,5
rater_03,32,1191165257986897,1,5,5,5
rater_03,33,227868632440032,2,4,4,4
rater_03,34,1511793446300774,4,4,5,3
rater_03,35,1722256454785270,4,2,1,3
rater_03,36,3820015124787263,5,2,1,2
rater_03,37,1013794687253153,3,4,3,2
rater_03,38,506871233832361,3,4,3,3
rater_03,39,171328774890863,4,3,2,1
rater_03,40,897056174290601,3,3,2,4
rater_04,1,1048585860586204,2,2,3,3
rater_04,2,379566460086058,2,1,2,2
rater_04,3,1786985018411895,1,4,4,4
rater_04,4,322291159395298,1,5,3,1
rater_04,5,266023545929762,2,3,3,2
rater_04,6,162047722516039,3,2,2,3
rater_04,7,5231464540201573,1,5,5,4
rater_04,8,1230367942048094,3,1,3,3
rater_04,9,150710133594122,1,5,4,3
rater_04,10,2057193337761503,2,4,4,2
rater_04,11,849609889321903,3,3,3,2
rater_04,12,1524455017941861,2,4,2,2
rater_04,13,1004577386845832,4,1,3,5
rater_04,14,734683652471324,2,2,2,2
rater_04,15,1103962721751983,1,3,3,2
rater_04,16,806537633627956,2,4,4,1
rater_04,17,381260744074188,1,4,3,2
rater_04,18,1382651655441772,4,2,3,4
rater_04,19,1965905510251867,3,3,4,4
rater_04,20,144911347597850,4,2,2,4
rater_04,21,3960825717289971,5,1,2,4
rater_04,22,1437622666630184,4,2,3,3
rater_04,23,3831659007059307,3,2,2,4
rater_04,24,436078068376836,2,4,4,3
rater_04,25,1069554004511711,4,1,1,2
rater_04,26,948147969642645,1,5,5,3
rater_04,27,681084239279260,1,5,5,2
rater_04,28,744637729566618,1,4,3,2
rater_04,29,144247037688163,1,4,4,3
rater_04,30,322396782610418,1,4,5,4
rater_04,31,468270254276719,2,3,3,4
rater_04,32,1191165257986897,1,3,4,5
rater_04,33,227868632440032,1,4,4,3
rater_04,34,1511793446300774,2,2,3,2
rater_04,35,1722256454785270,3,2,2,4
rater_04,36,3820015124787263,3,2,3,4
rater_04,37,1013794687253153,3,1,3,4
rater_04,38,506871233832361,2,4,3,3
rater_04,39,171328774890863,1,3,4,3
rater_04,40,897056174290601,2,2,2,2
